Date, TIME_GPS, Altitude, Latitude, Longitude, CH4_dry
8/6/2014,65042,-17.672,37.40441,-122.045,1.994453
7/15/2014,74543,295.1343011,37.54750101,-121.000188,1.99445091
6/11/2015,69950,307.0852,38.75869,-121.232,1.994424
2/13/2014,79961,320.4204,36.99243,-120.966,1.994417
1/8/2016,75849,672.3732,34.37705,-118.496,1.994414
8/6/2014,65029,-17.8908,37.40441,-122.045,1.994393
2/13/2013,72720,257.152272,36.27040079,-121.1775847,1.994392062
7/15/2014,74319,290.8765738,37.45687,-120.8577552,1.99437958
7/15/2014,74185,286.5966154,37.44228455,-121.0604539,1.994367631
8/6/2014,65075,-19.3002,37.40489,-122.045,1.994342
8/6/2014,65012,-17.9,37.40441,-122.045,1.994334
8/3/2011,69865,10.82555199,37.40552892,-122.0449073,1.994322432
3/30/2016,73789,231.7024,37.13433,-121.013,1.994318
8/19/2015,76972,473.444,35.3496,-118.955,1.994315
3/13/2013,71884,361.8931201,37.43683382,-122.0377442,1.994312697
8/6/2014,65094,-18.2594,37.40657,-122.046,1.994304
8/6/2014,65135,67.52126,37.43319,-122.055,1.994293
7/15/2014,74789,283.2563765,37.39337125,-120.8065353,1.994280464
3/30/2016,70795,305.514,37.28473,-120.683,1.99428
2/13/2014,79821,518.7286,36.8428,-120.866,1.994273
1/8/2016,75632,500.6325,34.2142,-118.527,1.994246
7/29/2015,77051,313.0427,38.42883,-121.435,1.994217
7/25/2014,69764,476.8158,37.87194,-121.215,1.994181
12/19/2012,71251,-21.85897312,37.42523743,-122.0550789,1.994159964
6/4/2014,68631,162.9077,38.28209,-121.524,1.994144
3/30/2016,70995,303.488,37.11856,-120.471,1.994125
2/13/2013,72474,265.8277437,36.0480575,-120.9342514,1.99412225
1/28/2013,75726,278.9704574,37.08601828,-120.2226437,1.994109472
12/19/2012,71241,-23.44551793,37.41748551,-122.0511168,1.994098279
6/10/2014,68795,468.0559,35.46352,-118.978,1.994096
7/25/2014,70073,480.9613,37.58917,-120.895,1.994092
7/15/2014,74956,289.262472,37.36088023,-120.5467379,1.994088847
1/31/2013,74453,292.1845788,36.79314192,-121.6823374,1.994060953
1/28/2013,75879,275.0699205,36.9958008,-120.1897963,1.994055141
7/25/2014,71193,550.0557,36.93438,-120.87,1.994048
7/25/2014,71952,463.2084,37.12178,-120.889,1.994018
3/17/2016,73913,312.6213,38.87688,-121.456,1.994016
5/9/2013,70871,323.0531847,37.40140668,-120.8614592,1.994012876
7/25/2014,69419,485.2784,38.27065,-121.272,1.99401
8/6/2014,65050,-18.2672,37.40448,-122.045,1.994002
